USA-JCS,0,0,89,0,1,2,0,6,93,5,0,0,0,0,0,0,13,0,0,0,0,27,4,0,0,0,0,0,9,0,0,0,0,0,0,42,0,9,5,0,5,0,0,0,0,94,0,6,0,0,3,1,0,2,0
USA-SFO,0,0,0,1,2,0,88,8,0,1,51,0,6,2,80,1,0,3,57,0,1,0,0,0,0,2,4,3,0,13,8,1,2,2,8,0,2,1,3,7,3,1,0,59,1,0,74,0,2,0,1,1,0,0,3
USA-HON,89,0,0,0,0,0,0,13,96,0,0,0,0,0,0,0,18,0,0,0,0,36,1,0,0,0,0,0,5,0,0,0,1,0,0,42,0,4,6,0,0,0,0,0,0,86,0,2,0,0,0,0,0,0,0
USA-MIW,0,1,0,0,40,32,2,0,0,12,17,0,0,0,0,32,0,0,0,0,11,0,7,32,60,15,0,0,8,0,4,33,0,15,31,0,2,8,0,0,24,0,0,1,0,0,2,28,0,19,16,46,0,32,40
USA-JAF,1,2,0,40,0,60,2,0,1,45,41,0,0,0,0,2,0,0,2,1,0,0,39,2,28,0,0,0,36,0,0,2,2,0,41,0,0,36,1,0,74,0,0,0,0,1,2,57,0,0,44,18,0,60,1
USA-MAW,2,0,0,32,60,0,0,0,2,75,2,0,0,0,0,3,1,0,0,0,0,0,68,3,49,0,0,0,69,0,0,3,0,0,3,0,0,69,0,0,41,0,0,0,0,2,0,96,0,0,80,42,0,100,0
USA-MIN,0,88,0,2,2,0,0,5,0,0,45,0,3,1,82,0,0,0,62,2,0,0,0,0,0,3,4,3,0,8,4,0,0,3,1,0,3,0,1,7,1,1,0,61,1,0,83,0,3,1,0,0,0,0,4
USA-PIT,0,74,0,2,2,0,83,0,0,0,39,0,3,1,86,3,0,0,64,8,0,0,0,3,2,1,4,4,0,0,0,3,0,1,1,0,1,0,0,6,1,1,0,66,1,0,0,0,1,0,0,1,0,0,8
USA-IOW,93,0,96,0,1,2,0,11,0,4,0,0,0,0,0,0,14,0,0,0,0,32,4,0,0,0,0,0,9,0,0,0,1,0,0,43,0,8,7,0,4,0,0,0,0,89,0,6,0,0,2,1,0,2,0
USA-NEO,0,3,0,40,1,0,4,0,0,0,2,22,0,0,10,19,0,0,28,31,9,0,0,19,22,12,7,1,0,0,1,20,0,12,15,0,0,0,0,4,0,0,28,30,0,0,8,0,0,16,0,19,0,0,0
USA-TLS,5,1,0,12,45,75,0,0,4,0,6,0,0,0,0,1,0,0,0,0,1,2,90,0,26,0,0,0,90,0,0,1,0,0,10,1,0,91,5,0,63,0,0,0,0,3,0,77,0,0,95,52,0,75,0
USA-KAN,0,51,0,17,41,2,45,5,0,6,0,0,0,0,38,1,0,10,25,1,1,0,2,0,1,4,0,0,0,6,2,2,1,4,51,0,4,1,0,0,38,1,0,22,1,0,39,2,0,2,3,3,0,2,2
USA-HOU,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,0,0,0,8,84,8,0,0,0,0,1,1,0,0,0,0,0,33,1,0,0,0,0,6,2,0,0,21,8,0,0,0,0,0,0,0,0,4,0,22
USA-DEN,0,6,0,0,0,0,3,0,0,0,0,0,0,27,7,0,0,32,3,0,0,0,0,0,0,0,0,0,0,28,31,0,0,0,4,0,0,0,1,0,0,4,0,7,4,0,3,0,0,0,0,0,0,0,0
