USA-JCS,0.04,0.383,0.024,0.041,0.056,0.0,0.456
USA-SFO,0.007,0.24,0.018,0.048,0.055,0.001,0.631
USA-HON,0.034,0.273,0.04,0.039,0.108,0.001,0.505
USA-MIW,0.031,0.196,0.017,0.04,0.042,0.002,0.672
USA-JAF,0.025,0.225,0.039,0.039,0.042,0.0,0.63
USA-MAW,0.034,0.206,0.033,0.031,0.082,0.0,0.614
USA-MIN,0.012,0.151,0.013,0.033,0.054,0.0,0.737
USA-PIT,0.032,0.162,0.016,0.042,0.031,0.0,0.717
USA-IOW,0.052,0.216,0.03,0.036,0.166,0.0,0.5
USA-NEO,0.031,0.112,0.051,0.028,0.07,0.0,0.708
USA-TLS,0.017,0.369,0.041,0.027,0.022,0.0,0.524
USA-KAN,0.004,0.216,0.043,0.038,0.035,0.001,0.663
USA-HOU,0.015,0.183,0.02,0.045,0.092,0.002,0.643
USA-DEN,0.012,0.281,0.013,0.027,0.039,0.0,0.628
USA-PHX,0.007,0.231,0.018,0.013,0.074,0.003,0.654
USA-WAS,0.015,0.18,0.013,0.03,0.041,0.001,0.72
USA-CRS,0.03,0.139,0.045,0.039,0.051,0.001,0.695
USA-BOI,0.017,0.261,0.041,0.031,0.095,0.0,0.555
USA-COO,0.019,0.426,0.024,0.029,0.031,0.0,0.471
USA-NYM,0.015,0.099,0.016,0.041,0.136,0.0,0.693
USA-PHI,0.023,0.244,0.01,0.029,0.059,0.0,0.635
USA-AUT,0.014,0.114,0.039,0.047,0.094,0.001,0.691
USA-ANC,0.038,0.483,0.037,0.035,0.126,0.0,0.281
USA-ABU,0.009,0.315,0.05,0.045,0.054,0.0,0.527
USA-CTN,0.034,0.152,0.024,0.048,0.042,0.001,0.699
USA-STL,0.006,0.189,0.034,0.034,0.051,0.0,0.686
USA-DET,0.016,0.201,0.012,0.023,0.042,0.0,0.706
USA-CIN,0.035,0.183,0.027,0.029,0.052,0.0,0.674
USA-DES,0.019,0.256,0.035,0.028,0.043,0.0,0.619
USA-DAL,0.01,0.211,0.014,0.013,0.071,0.0,0.681
USA-REN,0.033,0.42,0.029,0.022,0.073,0.018,0.405
USA-SEA,0.002,0.527,0.016,0.013,0.02,0.0,0.422
USA-SAT,0.016,0.211,0.04,0.038,0.039,0.0,0.656
USA-IDO,0.031,0.174,0.024,0.016,0.056,0.0,0.699
USA-TPA,0.009,0.192,0.041,0.031,0.069,0.0,0.658
USA-OKL,0.017,0.307,0.037,0.026,0.021,0.0,0.592
USA-RAL,0.029,0.202,0.029,0.052,0.054,0.003,0.631
USA-BIR,0.03,0.238,0.037,0.026,0.04,0.0,0.629
USA-VIR,0.027,0.412,0.024,0.054,0.039,0.0,0.444
USA-LAX,0.015,0.256,0.017,0.051,0.04,0.0,0.621
USA-OMA,0.017,0.326,0.018,0.023,0.047,0.0,0.569
USA-CUO,0.036,0.222,0.031,0.023,0.067,0.001,0.62
USA-ATL,0.007,0.187,0.004,0.022,0.028,0.002,0.75
USA-SLT,0.085,0.182,0.016,0.04,0.186,0.001,0.49
USA-CLE,0.027,0.183,0.029,0.042,0.093,0.001,0.625
USA-LIN,0.064,0.291,0.027,0.047,0.098,0.0,0.473
USA-POR,0.004,0.435,0.028,0.052,0.048,0.001,0.432
USA-BOS,0.035,0.184,0.008,0.027,0.105,0.0,0.641
USA-ORL,0.006,0.163,0.025,0.033,0.027,0.0,0.746
USA-SAN,0.015,0.208,0.018,0.06,0.076,0.0,0.623
USA-LIT,0.019,0.29,0.037,0.038,0.039,0.0,0.577
USA-RON,0.034,0.212,0.031,0.036,0.042,0.0,0.645
USA-CHI,0.01,0.247,0.003,0.014,0.16,0.002,0.564
USA-LEK,0.023,0.223,0.048,0.019,0.041,0.0,0.646
USA-NAS,0.031,0.173,0.03,0.03,0.027,0.0,0.709
