USA-JCS,0,0,77,0,0,0,0,0,78,0,0,0,0,0,0,0,1,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,34,0,4,0,0,0,0,0,0,78,0,0,0,0,0,0,0
USA-SFO,0,0,0,0,1,0,76,7,0,0,48,0,24,9,0,80,0,0,1,15,0,0,0,0,0,0,4,0,0,1,5,6,0,4,7,0,0,0,1,1,0,0,0,0,0,12,0,0,0,0,0,0
USA-HON,77,0,0,0,0,0,0,7,98,0,0,0,0,0,0,0,0,2,0,0,0,0,24,1,0,0,0,0,1,0,0,0,0,0,0,28,0,0,1,0,0,0,0,0,64,0,0,1,0,0,0,0
USA-MIW,0,0,0,0,29,45,2,0,0,11,1,0,0,0,0,0,6,0,0,0,22,5,0,2,7,38,12,45,2,0,0,2,16,12,29,0,0,1,0,8,0,0,0,0,0,2,0,0,11,47,45,12
USA-JAF,0,1,0,29,0,49,2,0,0,16,42,0,0,0,0,0,0,0,0,2,6,0,0,9,0,23,0,53,13,0,0,0,0,0,38,0,0,7,0,40,0,0,0,0,0,0,0,2,16,0,53,0
USA-MAW,0,0,0,45,49,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,34,0,0,38,0,42,0,92,42,0,0,0,0,0,4,0,0,38,0,16,0,0,0,0,0,0,0,0,52,0,92,0
USA-MIN,0,76,0,2,2,0,0,0,0,0,37,0,36,0,0,75,0,0,0,19,0,0,0,0,0,0,4,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,2,0,0
USA-POR,0,7,7,0,0,0,0,0,7,0,4,0,0,0,0,0,0,28,39,0,0,0,34,0,0,0,0,0,0,0,51,0,0,0,1,0,0,0,8,0,0,0,0,0,0,0,0,10,0,0,0,0
USA-IOW,78,0,98,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,1,0,0,0,0,1,0,0,0,0,0,0,30,0,1,2,0,0,0,0,1,64,0,0,1,0,0,0,0
USA-TLS,0,0,0,11,16,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,86,0,5,0,44,90,0,0,0,0,0,1,0,0,86,1,48,0,0,0,0,0,0,0,0,100,0,44,0
USA-KAN,0,48,0,1,42,0,37,4,0,0,0,0,7,1,0,35,0,0,1,6,1,0,0,0,0,0,0,0,0,0,2,0,0,0,37,0,0,0,0,31,7,0,7,6,0,2,0,1,0,0,0,1
USA-HOU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,10,0,0,0,1,0,20,0,1,0,0
USA-PIT,0,24,0,0,0,0,36,0,0,0,7,0,0,0,2,36,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0
USA-DEN,0,9,0,0,0,0,0,0,0,0,1,0,0,0,0,11,0,0,6,0,0,0,0,0,0,0,0,0,0,2,5,8,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
USA-PHI,0,0,0,0,0,0,0,0,0,0,0,85,2,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,3,0,5,0,1,0,0
USA-WAS,0,80,0,0,0,0,75,0,0,0,35,1,36,11,6,0,0,0,0,15,0,0,0,0,0,0,4,0,0,1,0,7,0,4,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0
USA-CRS,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,85,0,0,99,2,0,0,0,2,0,0,0,0,0,17,0,0,0,0,17,0,4,17,0,0,0,0,0,2,0,90
USA-BOI,0,0,2,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
