San Francisco,USA-SFO
Seattle,USA-SEA
Washington DC,USA-WAS
Boston,USA-BOS
Portland,USA-POR
Denver,USA-DEN
New York,USA-NYM
Austin,USA-AUT
San Diego,USA-SAN
Minneapolis,USA-MIN
Pittsburgh,USA-PIT
Nashville,USA-NAS
New Orleans,USA-NEO
Kansas City,USA-KAN
Atlanta,USA-ATL
Madison,USA-MAW
Raleigh,USA-RAL
Honolulu,USA-HON
Columbus,USA-CUO
Cincinnati,USA-CIN
Houston,USA-HOU
Oklahoma City,USA-OKL
Philadelphia,USA-PHI
Los Angeles,USA-LAX
Anchorage,USA-ANC
Omaha,USA-OMA
St Louis,USA-STL
Cleveland,USA-CLE
Phoenix,USA-PHX
Reno,USA-REN
Dallas,USA-DAL
Virginia Beach,USA-VIR
Charlotte,USA-CTN
Tulsa,USA-TLS
Indianapolis,USA-IDO
Colorado Springs,USA-COO
Tampa,USA-TPA
Lincoln,USA-LIN
Rochester,USA-RON
San Antonio,USA-SAT
Chicago,USA-CHI
Milwaukee,USA-MIW
Lexington,USA-LEK
Jackson,USA-JCS
Detroit,USA-DET
Des Moines,USA-DES
Iowa City,USA-IOW
Salt Lake City,USA-SLT
Charleston,USA-CRS
Birmingham,USA-BIR
Boise,USA-BOI
Little Rock,USA-LIT
Albuquerque,USA-ABU
Jacksonville,USA-JAF
Orlando,USA-ORL
