USA-JCS,29.65,531.438,1.666
USA-SFO,37.64,1213.947,2.461
USA-HON,31.883,514.638,1.992
USA-MIW,33.978,737.175,1.59
USA-JAF,37.262,614.775,1.847
USA-MAW,32.49,652.016,1.729
USA-MIN,39.08,770.502,1.505
USA-PIT,38.077,832.84,1.277
USA-IOW,30.847,740.156,2.267
USA-NEO,36.362,948.808,1.084
USA-TLS,30.821,551.401,2.358
USA-KAN,35.306,669.11,1.934
USA-HOU,39.989,831.868,1.865
USA-DEN,33.998,962.606,1.621
USA-PHX,39.813,722.799,2.324
USA-WAS,38.393,836.005,1.372
USA-CRS,35.002,603.0,1.737
USA-BOI,32.449,596.64,1.97
USA-COO,32.289,606.039,2.106
USA-NYM,39.276,1060.438,1.297
USA-PHI,38.446,870.869,1.189
USA-AUT,35.455,641.493,1.981
USA-ANC,31.218,525.736,3.108
USA-ABU,30.918,492.289,2.204
USA-CTN,35.757,853.46,1.57
USA-STL,33.319,700.927,1.808
USA-DET,35.291,880.791,1.251
USA-CIN,36.322,840.115,1.509
USA-DES,29.975,455.05,1.883
USA-DAL,39.601,947.045,1.667
USA-REN,34.19,544.718,2.465
USA-SEA,35.811,645.768,2.002
USA-SAT,34.468,702.026,1.836
USA-IDO,35.311,786.349,1.477
USA-TPA,37.673,652.123,1.696
USA-OKL,34.648,718.314,1.761
USA-RAL,33.676,562.131,1.773
USA-BIR,32.988,623.55,1.662
USA-VIR,35.9,512.803,2.013
USA-LAX,38.944,807.4,2.172
USA-OMA,29.635,489.349,1.926
USA-CUO,33.904,669.283,1.471
USA-ATL,42.276,965.435,0.959
USA-SLT,35.202,859.221,1.664
USA-CLE,34.469,747.85,1.877
USA-LIN,30.663,540.943,2.037
USA-POR,34.529,665.078,1.942
USA-BOS,37.823,882.741,1.495
USA-ORL,34.275,746.432,1.945
USA-SAN,37.769,766.851,2.196
USA-LIT,30.221,531.143,1.955
USA-RON,31.391,517.893,1.794
USA-CHI,41.156,947.815,1.562
USA-LEK,30.672,553.693,1.763
USA-NAS,36.183,698.176,1.606
